ronnie · Kandel/Südpfalz	ronnie · Kandel/Southern Palatinate
'Verkäufer'	'Sales assistant'
Kundenberatung, Bedarfsanalyse und kaufmännische Abwicklung (u.a. Boom-Jahre 2016/17)	Customer advice, needs analysis and sales administration (including the 2016/17 boom years)
Stressresistent bei hoher Kundenfrequenz und schnellem Marktwachstum	Resilient under heavy customer traffic and rapid market growth
'Restaurantleiter'	'Restaurant manager'
Teamführung, Schichtplanung und Priorisierung unter Volllast (Gastro-Sonntage)	Team leadership, shift planning and prioritisation at peak capacity (busy Sundays in hospitality)
Verantwortung für Kassenführung, Bargeld und Kundenservice mit unendlicher Geduld	Responsible for tills, cash handling and customer service with endless patience
'Sozialversicherungsfachangestellter'	'Social insurance administrator'
Bearbeitung von Anträgen und Anfragen im Sozialversicherungsbereich	Processing social insurance applications and enquiries
Universität Landau-Koblenz	University of Landau-Koblenz
Lehramt für Grund- und Hauptschulen (ohne Abschluss — gescheitert am analogen Universitätsapparat, keine Ausreden)	Primary and lower-secondary teacher training (no degree — struggled with the paper-based university system, no excuses)
Universität Mannheim	University of Mannheim
Sozialwissenschaften (ohne Abschluss — nach 1. Semester Reißleine gezogen wegen schlechter Perspektiven)	Social sciences (no degree — left after the first semester due to poor career prospects)
Speyer-Kolleg (heute Pfalz-Kolleg)	Speyer-Kolleg (now Pfalz-Kolleg)
'Abitur'	'Abitur (German university entrance qualification)'
Ausbildung als Sozialversicherungsfachangestellter	Vocational training as a social insurance administrator
Außerordentliche Computerkenntnisse	Outstanding computer skills
Kundenorientierung und Kommunikationsfähigkeit	Customer focus and communication skills
'Organisation'	'Organisation'
— kein Abschluss, aber reichlich Hintergrund für Menschen & Systeme.	— no degree, but plenty of insight into people & systems.
E-Mail	Email
Praktikum%20bei%20SMARTCRM	Internship%20at%20SMARTCRM
Terminal neu abspielen	Replay terminal
Mein Bezug:	My connection:
>STATION	>MILESTONE
regionalbezug.md	local-connection.md
cv.tex §bildung · lebenslauf.md	cv.tex §education · cv.md
cv.tex §erfahrung · softskills.yml	cv.tex §experience · softskills.yml
selbstauskunft.yml	self-assessment.yml
